4096,4,0.69
4096,8,0.72
4096,16,0.7
4096,32,0.71
4096,64,0.65
4096,128,0.61
4096,256,0.58
4096,512,0.5
4096,1024,0.53
4096,2048,0.29
8192,4,0.7
8192,8,0.68
8192,16,0.69
8192,32,0.68
8192,64,0.69
8192,128,0.66
8192,256,0.63
8192,512,0.58
8192,1024,0.5
8192,2048,0.62
8192,4096,1.23
16384,4,0.69
16384,8,0.68
16384,16,0.69
16384,32,0.7
16384,64,0.69
16384,128,0.7
16384,256,0.66
16384,512,0.62
16384,1024,0.56
16384,2048,0.52
16384,4096,0.68
16384,8192,1.26
32768,4,0.69
32768,8,0.7
32768,16,0.7
32768,32,0.69
32768,64,0.7
32768,128,0.7
32768,256,0.71
32768,512,0.65
32768,1024,0.61
32768,2048,0.58
32768,4096,0.56
32768,8192,0.66
32768,16384,1.27
65536,4,0.69
65536,8,0.69
65536,16,0.7
65536,32,0.7
65536,64,0.74
65536,128,0.72
65536,256,0.73
65536,512,0.72
65536,1024,0.81
65536,2048,1.02
65536,4096,7.56
65536,8192,0.61
65536,16384,0.66
65536,32768,1.26
131072,4,0.68
131072,8,0.7
131072,16,0.69
131072,32,0.71
131072,64,0.75
131072,128,0.73
131072,256,0.73
131072,512,0.74
131072,1024,0.82
131072,2048,0.98
131072,4096,8.12
131072,8192,7.52
131072,16384,0.56
131072,32768,0.65
131072,65536,1.24
262144,4,0.7
262144,8,0.69
262144,16,0.7
262144,32,0.7
262144,64,0.74
262144,128,0.73
262144,256,0.72
262144,512,0.73
262144,1024,0.84
262144,2048,0.97
262144,4096,7.85
262144,8192,7.5
262144,16384,6.98
262144,32768,0.55
262144,65536,0.67
262144,131072,1.2
524288,4,0.69
524288,8,0.69
524288,16,0.69
524288,32,0.7
524288,64,0.75
524288,128,0.77
524288,256,0.75
524288,512,0.76
524288,1024,0.88
524288,2048,1
524288,4096,7.61
524288,8192,7.74
524288,16384,7.4
524288,32768,6.97
524288,65536,0.55
524288,131072,0.66
524288,262144,1.27
1048576,4,0.69
1048576,8,0.69
1048576,16,0.69
1048576,32,0.71
1048576,64,0.76
1048576,128,0.94
1048576,256,0.92
1048576,512,1.13
1048576,1024,1.15
1048576,2048,1.39
1048576,4096,7.41
1048576,8192,7.58
1048576,16384,7.43
1048576,32768,8.17
1048576,65536,17.97
1048576,131072,0.56
1048576,262144,0.66
1048576,524288,1.28
2097152,4,0.7
2097152,8,0.69
2097152,16,0.7
2097152,32,0.7
2097152,64,0.76
2097152,128,0.96
2097152,256,0.95
2097152,512,1.13
2097152,1024,1.16
2097152,2048,1.41
2097152,4096,7.79
2097152,8192,7.66
2097152,16384,6.78
2097152,32768,7.97
2097152,65536,19.66
2097152,131072,17.87
2097152,262144,0.54
2097152,524288,0.64
2097152,1048576,1.29
4194304,4,0.69
4194304,8,0.69
4194304,16,0.69
4194304,32,0.7
4194304,64,0.76
4194304,128,0.94
4194304,256,0.92
4194304,512,1.11
4194304,1024,1.14
4194304,2048,1.4
4194304,4096,7.71
4194304,8192,7.67
4194304,16384,7.15
4194304,32768,7.8
4194304,65536,17.69
4194304,131072,12.44
4194304,262144,7.05
4194304,524288,0.55
4194304,1048576,0.67
4194304,2097152,1.21
8388608,4,0.69
8388608,8,0.7
8388608,16,0.71
8388608,32,0.72
8388608,64,0.77
8388608,128,0.96
8388608,256,0.95
8388608,512,1.13
8388608,1024,1.17
8388608,2048,1.41
8388608,4096,7.32
8388608,8192,7.41
8388608,16384,7.06
8388608,32768,7.99
8388608,65536,17.52
8388608,131072,12.74
8388608,262144,7.3
8388608,524288,7
8388608,1048576,0.55
8388608,2097152,0.63
8388608,4194304,1.27
16777216,4,0.7
16777216,8,0.75
16777216,16,0.93
16777216,32,1.61
16777216,64,2.57
16777216,128,3.92
16777216,256,2.95
16777216,512,2.39
16777216,1024,2.53
16777216,2048,2.62
16777216,4096,5.84
16777216,8192,3.37
16777216,16384,3.37
16777216,32768,4.4
16777216,65536,15.76
16777216,131072,11.43
16777216,262144,7.25
16777216,524288,7.49
16777216,1048576,7.28
16777216,2097152,0.57
16777216,4194304,0.67
16777216,8388608,1.27
